sample_id,split,epoch,noisy_label,clean_label,per_sample_loss,per_sample_probs,predictive_entropy
4350,train,0,3,3,2.2980871200561523,"[0.06534609943628311, 0.048925891518592834, 0.13771840929985046, 0.10045081377029419, 0.17600058019161224, 0.25427645444869995, 0.06828978657722473, 0.06603007763624191, 0.05201467499136925, 0.0309472493827343]",2.107785224914551
38557,train,0,3,3,2.591827154159546,"[0.03556756675243378, 0.02170419879257679, 0.14582347869873047, 0.07488308846950531, 0.20777544379234314, 0.14874430000782013, 0.06167022883892059, 0.2468724399805069, 0.018866389989852905, 0.038092825561761856]",2.003096580505371
18548,train,0,8,8,2.4142074584960938,"[0.0627557709813118, 0.35667622089385986, 0.039894361048936844, 0.03569076955318451, 0.04748644679784775, 0.05790422484278679, 0.021364325657486916, 0.03188269957900047, 0.08943819999694824, 0.2569069266319275]",1.8556879758834839
24863,train,0,1,1,1.9495368003845215,"[0.12196897715330124, 0.14233998954296112, 0.09983383119106293, 0.06962462514638901, 0.11825414001941681, 0.13361383974552155, 0.04729703813791275, 0.04585304111242294, 0.1182158812880516, 0.10299864411354065]",2.243276596069336
9913,train,0,8,8,3.0983738899230957,"[0.04792363569140434, 0.05571400374174118, 0.13921736180782318, 0.06218598410487175, 0.1470605880022049, 0.24308599531650543, 0.06069899722933769, 0.13132153451442719, 0.04512251541018486, 0.06766942143440247]",2.13812255859375
16694,train,0,2,2,2.207207679748535,"[0.10426043719053268, 0.1061851978302002, 0.1100073754787445, 0.11754963546991348, 0.17989420890808105, 0.08141463249921799, 0.08666664361953735, 0.05528079345822334, 0.10023199766874313, 0.05850915610790253]",2.249767303466797
26035,train,0,8,8,1.9687293767929077,"[0.17419558763504028, 0.1471986621618271, 0.09779645502567291, 0.06284330040216446, 0.10743711143732071, 0.11406886577606201, 0.033359285444021225, 0.027761925011873245, 0.1396341472864151, 0.09570465981960297]",2.187429189682007
49421,train,0,7,4,1.1394509077072144,"[0.03019236959517002, 0.016004620119929314, 0.1387110948562622, 0.05173712223768234, 0.21639473736286163, 0.08620568364858627, 0.07673871517181396, 0.31999465823173523, 0.019166164100170135, 0.04485480114817619]",1.9182720184326172
26409,train,0,0,6,3.2784218788146973,"[0.03768768534064293, 0.06716285645961761, 0.12371069192886353, 0.04883500561118126, 0.1819315403699875, 0.10649362206459045, 0.07590164244174957, 0.21176938712596893, 0.03898116573691368, 0.10752644389867783]",2.150148868560791
39538,train,0,5,5,1.699554204940796,"[0.03110155090689659, 0.09534216672182083, 0.08859878778457642, 0.07746954262256622, 0.11508965492248535, 0.18276499211788177, 0.048209261149168015, 0.22688359022140503, 0.039380285888910294, 0.095160111784935]",2.1382861137390137
