sample_id,split,epoch,noisy_label,clean_label,per_sample_loss,per_sample_probs,predictive_entropy
35097,train,0,9,9,7.392205238342285,"[3.707427094923332e-05, 0.4396314322948456, 3.1854760891292244e-05, 2.055880976570279e-08, 4.328456270741299e-05, 1.0021543630500673e-06, 0.00013855975703336298, 8.113003787002526e-06, 0.5594925880432129, 0.0006160357734188437]",0.6932456493377686
27737,train,0,2,2,3.2134950160980225,"[0.023036757484078407, 0.006048409268260002, 0.040215812623500824, 0.3237285912036896, 0.03182850033044815, 0.3085598647594452, 0.030945109203457832, 0.18262217938899994, 0.008436939679086208, 0.044577863067388535]",1.6816692352294922
5541,train,0,3,3,6.085587501525879,"[0.01375642977654934, 0.2067503035068512, 0.018227148801088333, 0.002275426872074604, 0.015351480804383755, 0.008506773971021175, 0.02200794592499733, 0.02415473572909832, 0.6432742476463318, 0.04569544643163681]",1.175095558166504
6356,train,0,4,1,3.4470763206481934,"[0.024965748190879822, 0.28627485036849976, 0.04127132520079613, 0.013623612932860851, 0.03183858469128609, 0.03433522954583168, 0.05365162715315819, 0.06940905004739761, 0.3296896517276764, 0.11494039744138718]",1.8223888874053955
5740,train,0,3,6,1.4219614267349243,"[0.026992706581950188, 0.013396579772233963, 0.04808827117085457, 0.24124036729335785, 0.04218262434005737, 0.31436559557914734, 0.04832741990685463, 0.1773090809583664, 0.017382804304361343, 0.07071449607610703]",1.8524808883666992
38572,train,0,6,6,3.419337272644043,"[0.020541101694107056, 0.005280220881104469, 0.05272907763719559, 0.35315948724746704, 0.052396003156900406, 0.255402535200119, 0.03273412585258484, 0.18893685936927795, 0.007914971560239792, 0.03090558387339115]",1.7058687210083008
5045,train,0,1,9,4.199072360992432,"[0.038674626499414444, 0.015009495429694653, 0.05275144800543785, 0.22859489917755127, 0.056067366153001785, 0.2884688973426819, 0.04985659196972847, 0.17828436195850372, 0.025069857016205788, 0.06722249835729599]",1.9323618412017822
35060,train,0,4,6,3.329123020172119,"[0.020917050540447235, 0.0034460292663425207, 0.04243560507893562, 0.32720109820365906, 0.03582451120018959, 0.31140202283859253, 0.03317590430378914, 0.18434633314609528, 0.008693807758390903, 0.032557643949985504]",1.6600961685180664
46946,train,0,7,7,1.4794871807098389,"[0.05028924718499184, 0.022101333364844322, 0.08020207285881042, 0.19003242254257202, 0.04470894858241081, 0.19008095562458038, 0.05600016564130783, 0.22775444388389587, 0.05370889604091644, 0.08512157946825027]",2.0722126960754395
49683,train,0,2,2,2.9746150970458984,"[0.026347292587161064, 0.008253667503595352, 0.05106707662343979, 0.3083640933036804, 0.047937266528606415, 0.31667235493659973, 0.04271594434976578, 0.15069739520549774, 0.008337758481502533, 0.039607156068086624]",1.7475314140319824
41328,train,0,6,6,2.945652723312378,"[0.029887868091464043, 0.2264476865530014, 0.06552136689424515, 0.021579349413514137, 0.05471811443567276, 0.08339951932430267, 0.052567727863788605, 0.08193591237068176, 0.20840957760810852, 0.17553287744522095]",2.060842514038086
7554,train,0,2,9,2.6420719623565674,"[0.04577717185020447, 0.0699165090918541, 0.07121355831623077, 0.13691553473472595, 0.0694168359041214, 0.14677879214286804, 0.05577712133526802, 0.18452978134155273, 0.09916280955076218, 0.12051189690828323]",2.2114076614379883
17869,train,0,9,9,1.9180138111114502,"[0.03158672899007797, 0.19277608394622803, 0.03808586299419403, 0.021744098514318466, 0.043050847947597504, 0.05680778622627258, 0.04840899258852005, 0.07509593665599823, 0.34554511308670044, 0.14689843356609344]",1.9224812984466553
48457,train,0,8,8,1.345348834991455,"[0.0306912399828434, 0.2894594073295593, 0.06687447428703308, 0.012883499264717102, 0.04819346219301224, 0.05037447437644005, 0.05156102031469345, 0.0735621303319931, 0.2604488432407379, 0.11595144122838974]",1.9444833993911743
43892,train,0,6,7,2.680854320526123,"[0.04692858085036278, 0.026525814086198807, 0.07132717967033386, 0.19929303228855133, 0.05515215918421745, 0.17200824618339539, 0.06850459426641464, 0.16819977760314941, 0.09958899021148682, 0.092471644282341]",2.1455841064453125
15808,train,0,5,5,1.546149730682373,"[0.033309269696474075, 0.013504138216376305, 0.05538363754749298, 0.2332797646522522, 0.041146229952573776, 0.21306674182415009, 0.05240047723054886, 0.2385193407535553, 0.046979669481515884, 0.07241073250770569]",1.9621206521987915
13479,train,0,5,6,1.467447280883789,"[0.025687038898468018, 0.006293423008173704, 0.05813967064023018, 0.3548544645309448, 0.04193145036697388, 0.23051317036151886, 0.027374323457479477, 0.20469652116298676, 0.011229353956878185, 0.03928053379058838]",1.731020450592041
35160,train,0,8,8,3.111708641052246,"[0.04463622719049454, 0.02155640535056591, 0.08356110006570816, 0.1577073037624359, 0.05824052169919014, 0.2458771914243698, 0.0560472272336483, 0.2108418494462967, 0.04452481493353844, 0.07700733095407486]",2.056426525115967
17860,train,0,9,1,3.4133870601654053,"[0.005432623438537121, 0.5950908064842224, 0.011849568225443363, 0.0003709600423462689, 0.008897554129362106, 0.002781585091724992, 0.012039076536893845, 0.005505506880581379, 0.32510289549827576, 0.03292948007583618]",1.0106197595596313
12971,train,0,4,3,2.8189775943756104,"[0.03167152404785156, 0.03443898633122444, 0.08306670188903809, 0.14680102467536926, 0.05966690927743912, 0.18204526603221893, 0.055725544691085815, 0.17621158063411713, 0.10144723206758499, 0.12892518937587738]",2.155059814453125
22336,train,0,5,5,1.4606027603149414,"[0.033906929194927216, 0.059710729867219925, 0.08240503072738647, 0.16035358607769012, 0.07951612025499344, 0.23209631443023682, 0.061649471521377563, 0.15349271893501282, 0.03003181330859661, 0.10683731734752655]",2.126189947128296
11137,train,0,2,2,8.849385261535645,"[0.0001013561777654104, 0.8621147871017456, 0.00014346992247737944, 2.4218354610638926e-07, 0.0001149309246102348, 4.371608156361617e-06, 0.0002804994583129883, 1.474461350881029e-05, 0.13561442494392395, 0.0016110946889966726]",0.4149794578552246
1483,train,0,7,7,1.5896728038787842,"[0.02601861022412777, 0.005219085607677698, 0.04384713992476463, 0.32658958435058594, 0.03179417923092842, 0.28716471791267395, 0.03167923539876938, 0.2039923071861267, 0.009614137932658195, 0.03408095985651016]",1.686341643333435
22521,train,0,9,0,4.762782573699951,"[0.0007689190679229796, 0.524727463722229, 0.0014281163457781076, 7.908656698418781e-06, 0.0010095242178067565, 0.00011882670514751226, 0.0016703610308468342, 0.0004398754390422255, 0.4612872302532196, 0.00854181032627821]",0.7730625867843628
4949,train,0,1,1,4.548244476318359,"[0.02679012343287468, 0.010585770942270756, 0.048675358295440674, 0.39354774355888367, 0.038841478526592255, 0.21761910617351532, 0.028480663895606995, 0.18810628354549408, 0.010839849710464478, 0.036513615399599075]",1.7028225660324097
6393,train,0,0,0,3.0516223907470703,"[0.0472821444272995, 0.06641509383916855, 0.08206196129322052, 0.07915488630533218, 0.05879674851894379, 0.16091245412826538, 0.08661222457885742, 0.12467198073863983, 0.1737740933895111, 0.12031836807727814]",2.2212653160095215
6498,train,0,4,4,3.0338759422302246,"[0.023678680881857872, 0.005774443503469229, 0.06570630520582199, 0.38354727625846863, 0.048128727823495865, 0.23005147278308868, 0.02702288329601288, 0.17194262146949768, 0.009297170676290989, 0.03485037386417389]",1.7096800804138184
17763,train,0,0,0,13.122383117675781,"[1.999960204557283e-06, 0.3647402226924896, 2.2906224330654368e-06, 9.948732809794691e-11, 1.906939814944053e-06, 3.40654970898413e-08, 5.454660640680231e-05, 1.1177893810554451e-07, 0.6351319551467896, 6.694276089547202e-05]",0.6574289202690125
8103,train,0,9,9,4.86124324798584,"[0.0010218146489933133, 0.4373839795589447, 0.0019125172402709723, 2.6827325200429186e-05, 0.0016418980667367578, 0.00027279372443445027, 0.004640514496713877, 0.0010971429292112589, 0.5442617535591125, 0.007740854285657406]",0.7948766350746155
36149,train,0,0,0,3.477105140686035,"[0.03089672513306141, 0.009651212953031063, 0.0663125142455101, 0.3706095516681671, 0.054946206510066986, 0.21863077580928802, 0.029327668249607086, 0.1722722053527832, 0.010625180788338184, 0.0367279089987278]",1.7679589986801147
15906,train,0,1,1,4.920453071594238,"[0.023404177278280258, 0.007295825053006411, 0.05547040328383446, 0.34100696444511414, 0.04867905378341675, 0.2926410734653473, 0.03043513186275959, 0.15697242319583893, 0.008251310326159, 0.035843633115291595]",1.713639736175537
19817,train,0,1,8,2.6913466453552246,"[0.04397610202431679, 0.06778958439826965, 0.08337560296058655, 0.08211443573236465, 0.05681208521127701, 0.160830557346344, 0.07323352992534637, 0.1753251999616623, 0.12870395183563232, 0.12783893942832947]",2.2126035690307617
17724,train,0,6,6,3.202880382537842,"[0.02934558317065239, 0.007782036904245615, 0.05017473176121712, 0.2821628153324127, 0.036700278520584106, 0.3000643253326416, 0.04064496234059334, 0.20083743333816528, 0.01262657344341278, 0.03966128081083298]",1.766765832901001
40570,train,0,9,7,2.135110378265381,"[0.03915638476610184, 0.06438200920820236, 0.07932660728693008, 0.06983816623687744, 0.06034977361559868, 0.13464049994945526, 0.08482089638710022, 0.1446354240179062, 0.20461872220039368, 0.11823154985904694]",2.1958045959472656
26231,train,0,6,6,3.6052558422088623,"[0.023551924154162407, 0.008055871352553368, 0.05687956139445305, 0.2615851163864136, 0.036952052265405655, 0.3401035964488983, 0.027180489152669907, 0.18702025711536407, 0.009371567517518997, 0.04929962381720543]",1.733338713645935
44544,train,0,1,2,3.5021815299987793,"[0.03722260892391205, 0.03013157658278942, 0.06287655234336853, 0.16860783100128174, 0.05962499976158142, 0.16152483224868774, 0.06246114894747734, 0.24476084113121033, 0.05375078693032265, 0.11903877556324005]",2.0929219722747803
25464,train,0,7,7,1.7711775302886963,"[0.03789635747671127, 0.035418495535850525, 0.07575380057096481, 0.14661739766597748, 0.07695338129997253, 0.2302844375371933, 0.05682623013854027, 0.17013253271579742, 0.06717631965875626, 0.10294105112552643]",2.1345677375793457
16909,train,0,9,9,2.9692535400390625,"[0.03171234950423241, 0.008651492185890675, 0.04673172906041145, 0.294635534286499, 0.039426714181900024, 0.2565686106681824, 0.03791682422161102, 0.21935498714447021, 0.013660079799592495, 0.05134162679314613]",1.7981898784637451
28994,train,0,5,2,1.330897569656372,"[0.021221211180090904, 0.007832600735127926, 0.06985239684581757, 0.32151710987091064, 0.053655754774808884, 0.26423996686935425, 0.040684040635824203, 0.16137251257896423, 0.008967075496912003, 0.050657302141189575]",1.7970857620239258
20736,train,0,9,1,2.3865933418273926,"[0.02888905070722103, 0.42485734820365906, 0.061342012137174606, 0.01925683580338955, 0.057407196611166, 0.051915448158979416, 0.0466679148375988, 0.06261639297008514, 0.1551053822040558, 0.09194235503673553]",1.8559818267822266
25341,train,0,0,2,3.578507423400879,"[0.02791733480989933, 0.006531492341309786, 0.05024315416812897, 0.306412935256958, 0.03850654512643814, 0.33253175020217896, 0.03264597803354263, 0.15716660022735596, 0.010350234806537628, 0.03769397363066673]",1.7104263305664062
24370,train,0,7,7,1.764061450958252,"[0.029291972517967224, 0.01769012026488781, 0.11029145866632462, 0.21386553347110748, 0.07632768899202347, 0.25952523946762085, 0.037886857986450195, 0.17134752869606018, 0.01233590953052044, 0.07143764197826385]",1.9632670879364014
17938,train,0,6,6,2.5852243900299072,"[0.04431363195180893, 0.06736584007740021, 0.07341630011796951, 0.10210486501455307, 0.05492500588297844, 0.19162489473819733, 0.07537916302680969, 0.14336426556110382, 0.1282949000597, 0.1192111223936081]",2.21085524559021
47563,train,0,0,2,3.7557177543640137,"[0.02338366210460663, 0.004450040403753519, 0.053372785449028015, 0.3893510103225708, 0.03729219734668732, 0.26474717259407043, 0.019078124314546585, 0.17014223337173462, 0.008907311595976353, 0.029275426641106606]",1.63238525390625
9028,train,0,4,9,2.8460354804992676,"[0.03180534392595291, 0.19736014306545258, 0.0929780900478363, 0.045835066586732864, 0.058074112981557846, 0.09580101817846298, 0.06045110896229744, 0.07858690619468689, 0.2142832726240158, 0.12482495605945587]",2.141411542892456
44872,train,0,0,6,3.550576686859131,"[0.0287080779671669, 0.007640979718416929, 0.04508534446358681, 0.33480390906333923, 0.03578536584973335, 0.2484474778175354, 0.03191284090280533, 0.20485909283161163, 0.014060480520129204, 0.04869643226265907]",1.752239465713501
