sample_id,split,epoch,noisy_label,clean_label,per_sample_loss,per_sample_probs,predictive_entropy
12685,train,0,9,1,1.3974342346191406,"[0.11095063388347626, 0.35514509677886963, 0.026128794997930527, 0.008715302683413029, 0.018520068377256393, 0.010393030941486359, 0.017418228089809418, 0.027582304552197456, 0.17791610956192017, 0.24723049998283386]",1.6917365789413452
8532,train,0,5,9,4.753977298736572,"[0.0269597377628088, 0.3882647156715393, 0.012562423944473267, 0.006881647743284702, 0.012336100451648235, 0.008617352694272995, 0.02328638732433319, 0.02041093446314335, 0.020202089101076126, 0.48047855496406555]",1.2471699714660645
49418,train,0,6,6,2.5105857849121094,"[0.13295431435108185, 0.06385063380002975, 0.12857474386692047, 0.047879770398139954, 0.051508013159036636, 0.03353014588356018, 0.08122064918279648, 0.06114412099123001, 0.2555012106895447, 0.14383630454540253]",2.1221301555633545
16458,train,0,9,9,2.9228811264038086,"[0.072618268430233, 0.018427038565278053, 0.2738136053085327, 0.13375195860862732, 0.08408714830875397, 0.17509950697422028, 0.0859820544719696, 0.06955724954605103, 0.03288471698760986, 0.05377853661775589]",2.06693696975708
13995,train,0,4,4,1.2052403688430786,"[0.09854729473590851, 0.019312037155032158, 0.2540268301963806, 0.01954529993236065, 0.2996199429035187, 0.05676684528589249, 0.08775706589221954, 0.12603136897087097, 0.018545053899288177, 0.01984826661646366]",1.8798712491989136
3739,train,0,0,6,3.100895881652832,"[0.04500886797904968, 0.01139831729233265, 0.4068247675895691, 0.04695482552051544, 0.19269268214702606, 0.13872011005878448, 0.053047869354486465, 0.07136984169483185, 0.016030360013246536, 0.01795232854783535]",1.7739940881729126
2930,train,0,1,3,4.568825721740723,"[0.11254526674747467, 0.010370131582021713, 0.41743355989456177, 0.12348677217960358, 0.06535010784864426, 0.16537544131278992, 0.027758873999118805, 0.030530758202075958, 0.03424622491002083, 0.01290285587310791]",1.7697672843933105
19265,train,0,9,1,2.1146256923675537,"[0.07314161956310272, 0.11152420938014984, 0.11772125959396362, 0.056252192705869675, 0.09455480426549911, 0.12027726322412491, 0.05015962943434715, 0.23259180784225464, 0.02309870906174183, 0.12067843973636627]",2.158982038497925
12805,train,0,7,4,0.5653804540634155,"[0.06108373403549194, 0.021545637398958206, 0.060846127569675446, 0.018236974254250526, 0.14723099768161774, 0.051506850868463516, 0.02803696319460869, 0.5681439638137817, 0.009062210097908974, 0.034306544810533524]",1.5113816261291504
23251,train,0,1,6,4.199814319610596,"[0.03066600300371647, 0.014998363330960274, 0.1275138407945633, 0.07179297506809235, 0.07804176956415176, 0.07612278312444687, 0.5202772617340088, 0.03475431725382805, 0.016814155504107475, 0.0290185809135437]",1.6447781324386597
35835,train,0,0,0,1.317007064819336,"[0.26793599128723145, 0.04574235901236534, 0.07207982987165451, 0.0091518210247159, 0.02416137605905533, 0.012349491938948631, 0.01132608950138092, 0.014713529497385025, 0.4989362955093384, 0.043603189289569855]",1.4670355319976807
9500,train,0,4,4,1.6877020597457886,"[0.030530355870723724, 0.009556812234222889, 0.2674676477909088, 0.07866258919239044, 0.1849440336227417, 0.11051380634307861, 0.24382439255714417, 0.051417071372270584, 0.012160327285528183, 0.010923001915216446]",1.8589119911193848
43171,train,0,9,9,1.6467691659927368,"[0.12727242708206177, 0.10665366798639297, 0.10966069996356964, 0.0466369092464447, 0.046481356024742126, 0.059119813144207, 0.04634785279631615, 0.06813962757587433, 0.19701629877090454, 0.19267138838768005]",2.158989667892456
28312,train,0,2,3,0.952764630317688,"[0.048444945365190506, 0.010233182460069656, 0.38567325472831726, 0.0407135970890522, 0.2505861818790436, 0.09247314184904099, 0.0725083202123642, 0.07282286882400513, 0.014618168585002422, 0.011926192790269852]",1.753930926322937
34510,train,0,5,3,1.9187554121017456,"[0.041177548468112946, 0.012592571787536144, 0.35807719826698303, 0.06935345381498337, 0.17138144373893738, 0.14678955078125, 0.11964830756187439, 0.04690513014793396, 0.018548717722296715, 0.015526109375059605]",1.8593850135803223
46088,train,0,2,2,0.7857140302658081,"[0.03317498043179512, 0.0045890542678534985, 0.455794095993042, 0.01131612341850996, 0.2727143466472626, 0.06188585236668587, 0.014463690109550953, 0.13348722457885742, 0.007183173671364784, 0.005391406826674938]",1.4667737483978271
37364,train,0,5,5,1.1933125257492065,"[0.031509071588516235, 0.012896251864731312, 0.20510506629943848, 0.2539975047111511, 0.06612806767225266, 0.3032151758670807, 0.050311025232076645, 0.04604543000459671, 0.015423186123371124, 0.01536914985626936]",1.8001723289489746
25210,train,0,9,1,1.160036325454712,"[0.12042795866727829, 0.21216607093811035, 0.059154488146305084, 0.012431497685611248, 0.031273920089006424, 0.02036437951028347, 0.03198489174246788, 0.026250876486301422, 0.17247118055820465, 0.3134748041629791]",1.8657467365264893
111,train,0,9,8,2.058671474456787,"[0.18444642424583435, 0.07019507884979248, 0.12383361905813217, 0.024688558652997017, 0.03826591372489929, 0.030880874022841454, 0.029974795877933502, 0.031325750052928925, 0.3387656807899475, 0.12762340903282166]",1.9236232042312622
